timestep,edge_idx,flow,velocity
0,0,4.9078116,4.9851537
0,1,2.5839157,3.6187842
0,2,-0.0014159125,-0.0068510077
0,3,-6.0236584e-05,-0.009621196
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,1.4114878,3.711482
0,8,0.31604058,3.1831806
0,9,4.6014495,4.093625
0,10,4.6153994,3.9000423
0,11,0.63655263,3.1437106
0,12,0.7552506,3.5275617
0,13,3.242898,4.063287
0,14,3.252697,5.3352337
0,15,2.8826132,4.2999244
1,0,4.8998175,4.966544
1,1,2.589447,3.6244311
1,2,0.00062623475,0.0030242868
1,3,2.7579861e-05,0.0041006305
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,1.4052752,3.7039628
1,8,0.27157623,3.01687
1,9,4.6208425,4.095849
1,10,4.610505,3.892247
1,11,0.61177814,3.0957627
1,12,0.7305828,3.4887633
1,13,3.2547781,4.0693436
1,14,3.2490323,5.3344936
1,15,2.8772545,4.3007793
2,0,4.6808968,4.90802
2,1,2.5174313,3.6063604
2,2,0.00060780346,0.003093925
2,3,2.4257488e-05,0.006786848
2,4,0.0,0.0
2,5,0.0,0.0
2,6,0.0,0.0
2,7,1.3687596,3.6830702
2,8,0.25418848,2.981218
2,9,4.4191194,4.0560107
2,10,4.409266,3.849866
2,11,0.564785,3.0394335
2,12,0.6885562,3.4524794
2,13,3.1435976,4.0395684
2,14,3.1382802,5.2889156
2,15,2.7865484,4.2692785
3,0,4.500453,4.86098
3,1,2.448586,3.5875711
3,2,0.00055790215,0.0029797626
3,3,1.3944426e-05,0.012770846
3,4,0.0,0.0
3,5,0.0,0.0
3,6,0.0,0.0
3,7,1.3286843,3.656283
3,8,0.2468158,2.9790854
3,9,4.2478027,4.0213313
3,10,4.2403197,3.8136406
3,11,0.5252259,2.9832501
3,12,0.65789807,3.4276156
3,13,3.0475688,4.01276
3,14,3.0429628,5.248974
3,15,2.7055779,4.2399826
4,0,4.3691177,4.826214
4,1,2.3868995,3.5702186
4,2,0.0004436882,0.002474313
4,3,7.501386e-06,0.014625068
4,4,0.0,0.0
4,5,0.0,0.0
4,6,0.0,0.0
4,7,1.290112,3.6292882
4,8,0.24277768,2.9824803
4,9,4.1222143,3.9952214
4,10,4.116787,3.7879236
4,11,0.501613,2.9536088
4,12,0.64042306,3.4180074
4,13,2.967279,3.9883103
4,14,2.9633286,5.2151575
4,15,2.63401,4.2131486
5,0,4.2726707,4.8007216
5,1,2.3326216,3.5545845
5,2,0.00038267265,0.0022205121
5,3,3.4016432e-06,0.0128143085
5,4,0.0,0.0
5,5,0.0,0.0
5,6,0.0,0.0
5,7,1.2542441,3.6033015
5,8,0.24077415,2.9888072
5,9,4.0288215,3.9754157
5,10,4.024786,3.7696693
5,11,0.4886792,2.9429224
5,12,0.6315878,3.4185348
5,13,2.8990092,3.9659982
5,14,2.8960156,5.18605
5,15,2.5716162,4.18911
6,0,4.201956,4.782265
6,1,2.2878485,3.5413928
6,2,0.00029712718,0.0017839486
6,3,1.610633e-06,0.010598626
6,4,0.0,0.0
6,5,0.0,0.0
6,6,0.0,0.0
6,7,1.2239,3.5808148
6,8,0.23987092,2.9957702
6,9,3.959825,3.9606323
6,10,3.9568434,3.756728
6,11,0.4822143,2.9428415
6,12,0.6273004,3.4231052
6,13,2.8432503,3.9464107
6,14,2.8409848,5.1619425
6,15,2.520514,4.169074
7,0,4.5845013,4.909808
7,1,2.493919,3.5942495
7,2,-0.0025013033,-0.012918695
7,3,-5.8974034e-05,-0.029268721
7,4,0.0,0.0
7,5,0.0,0.0
7,6,0.0,0.0
7,7,1.3403443,3.6615188
7,8,0.3239594,3.2574127
7,9,4.2833943,4.03041
7,10,4.3151865,3.8386374
7,11,0.56748164,3.0641918
7,12,0.7032683,3.4918246
7,13,3.0881858,4.0232697
7,14,3.1102133,5.276167
7,15,2.7708833,4.2599783
8,0,5.2409296,5.0802174
8,1,2.7897449,3.671217
8,2,-0.002442499,-0.010315062
8,3,-9.788305e-05,-0.0054986114
8,4,0.0,0.0
8,5,0.0,0.0
8,6,0.0,0.0
8,7,1.4954884,3.7519574
8,8,0.35884088,3.2815883
8,9,4.905152,4.1527977
8,10,4.938163,3.9546518
8,11,0.6787983,3.1445522
8,12,0.80234635,3.538087
8,13,3.4989755,4.1412315
8,14,3.5173988,5.437573
8,15,3.1179924,4.3808594
9,0,5.788569,5.215812
9,1,3.017867,3.7233186
9,2,-0.0016969048,-0.0063179405
9,3,-6.7704124e-05,-0.0019694034
9,4,0.0,0.0
9,5,0.0,0.0
9,6,0.0,0.0
9,7,1.6182072,3.8202548
9,8,0.37418926,3.24797
9,9,5.431917,4.241082
9,10,5.456382,4.035321
9,11,0.7724117,3.1955175
9,12,0.8957331,3.5810895
9,13,3.8202643,4.221985
9,14,3.8339663,5.5515027
9,15,3.3828526,4.466999
10,0,6.2064743,5.3083286
10,1,3.192782,3.7583694
10,2,-0.0012439102,-0.00425878
10,3,-4.9636055e-05,-0.001032695
10,4,0.0,0.0
10,5,0.0,0.0
10,6,0.0,0.0
10,7,1.7167666,3.8737001
10,8,0.38431793,3.2140477
10,9,5.834532,4.2961655
