timestep,node_idx,water_level,inlet_flow
0,0,294.8743,0.0
0,1,288.22095,0.0
0,2,311.7251,3.1899052
0,3,310.67368,1.829733
0,4,311.7239,0.0
0,5,313.18546,0.0
0,6,324.9165,-0.0
0,7,345.26065,0.0
0,8,347.95245,-0.0
0,9,314.20856,0.0
0,10,296.1887,1.8654796
0,11,296.18622,0.11619615
0,12,299.42108,0.0
0,13,300.28598,6.9479904
0,14,300.29904,7.196226
0,15,301.97446,0.0
0,16,305.50336,3.820184
1,0,294.9857,0.0
1,1,288.25427,0.0
1,2,311.75165,3.2028248
1,3,310.69614,1.8327925
1,4,311.75098,0.0
1,5,313.18546,0.0
1,6,324.9165,-0.0
1,7,345.26065,0.0
1,8,347.95245,-0.0
1,9,314.3771,0.0
1,10,296.1895,1.854277
1,11,296.37643,0.11561848
1,12,299.80487,0.0
1,13,300.7171,7.1062083
1,14,300.70514,7.2580276
1,15,302.5427,0.0
1,16,305.55923,3.9397347
2,0,295.00534,0.0
2,1,288.25964,0.0
2,2,311.76877,3.2070825
2,3,310.7107,1.8350966
2,4,311.7683,0.0
2,5,313.18546,0.0
2,6,324.9165,-0.0
2,7,345.26065,0.0
2,8,347.95245,-0.0
2,9,314.4933,0.0
2,10,296.19003,1.8547368
2,11,296.4103,0.1160112
2,12,299.87863,0.0
2,13,300.7795,7.060631
2,14,300.76743,7.2103634
2,15,302.69333,0.0
2,16,305.60266,3.9638531
3,0,295.02298,0.0
3,1,288.2691,0.0
3,2,311.78067,3.208099
3,3,310.72076,1.8352345
3,4,311.78033,0.0
3,5,313.18546,0.0
3,6,324.9165,-0.0
3,7,345.26065,0.0
3,8,347.95245,-0.0
3,9,314.5773,0.0
3,10,296.21567,2.043191
3,11,296.4385,0.11820968
3,12,299.93442,0.0
3,13,300.83243,7.0482383
3,14,300.82077,7.1988263
3,15,302.79172,0.0
3,16,305.65463,3.9721963
4,0,295.0239,0.0
4,1,288.2734,0.0
4,2,311.7754,3.129826
4,3,310.71487,1.7937634
4,4,311.7754,0.0
4,5,313.18546,0.0
4,6,324.9165,-0.0
4,7,345.26065,0.0
4,8,347.95245,-0.0
4,9,314.59457,0.0
4,10,296.2317,2.1645381
4,11,296.43777,0.10252912
4,12,299.93124,0.0
4,13,300.84018,7.084302
4,14,300.82846,7.2357945
4,15,302.76096,0.0
4,16,305.62024,3.7917373
5,0,295.00204,0.0
5,1,288.26215,0.0
5,2,311.7626,3.0689042
5,3,310.7051,1.7934544
5,4,311.7626,0.0
5,5,313.18546,0.0
5,6,324.9165,-0.0
5,7,345.26065,0.0
5,8,347.95245,-0.0
5,9,314.54272,0.0
5,10,296.202,1.9446456
5,11,296.40225,0.09426323
5,12,299.85596,0.0
5,13,300.79218,7.18775
5,14,300.7802,7.3414297
5,15,302.57632,0.0
5,16,305.5463,3.5784504
6,0,294.97562,0.0
6,1,288.24545,0.0
6,2,311.74597,3.0328863
6,3,310.6929,1.8090993
6,4,311.74597,0.0
6,5,313.18546,0.0
6,6,324.9165,-0.0
6,7,345.26065,0.0
6,8,347.95245,-0.0
6,9,314.44406,0.0
6,10,296.1539,1.5971081
6,11,296.36053,0.08895248
6,12,299.7724,0.0
6,13,300.72302,7.2411346
6,14,300.7107,7.395389
6,15,302.40872,0.0
6,16,305.50635,3.4425755
7,0,294.86383,0.0
7,1,288.21378,0.0
7,2,311.72595,3.0138907
7,3,310.67725,1.8186784
7,4,311.72595,0.0
7,5,313.18546,0.0
7,6,324.9165,-0.0
7,7,345.26065,0.0
7,8,347.95245,-0.0
7,9,314.31458,0.0
7,10,296.13702,1.4947705
7,11,296.16702,0.085902564
7,12,299.38568,0.0
7,13,300.21054,6.721219
7,14,300.2247,6.969374
7,15,301.98962,0.0
7,16,305.47662,3.3567934
8,0,294.69852,0.0
8,1,288.16696,0.0
8,2,311.70377,3.0052338
8,3,310.6595,1.8246055
8,4,311.70377,0.0
8,5,313.18546,0.0
8,6,324.9165,-0.0
8,7,345.26065,0.0
8,8,347.95245,-0.0
8,9,314.1676,0.0
8,10,296.13226,1.4780496
8,11,295.8848,0.0849668
8,12,298.826,0.0
8,13,299.52875,6.212129
8,14,299.54242,6.450564
8,15,301.31512,0.0
8,16,305.45618,3.3122742
9,0,294.60614,0.0
9,1,288.1431,0.0
9,2,311.68018,3.0016286
9,3,310.64032,1.8275518
9,4,311.68018,0.0
9,5,313.18546,0.0
9,6,324.9165,-0.0
9,7,345.26065,0.0
9,8,347.95245,-0.0
9,9,314.0133,0.0
9,10,296.1305,1.4731089
9,11,295.7359,0.084632404
9,12,298.54086,0.0
9,13,299.19757,6.0057144
9,14,299.21094,6.243048
9,15,300.9453,0.0
9,16,305.43985,3.2913263
10,0,294.567,0.0
10,1,288.13074,0.0
10,2,311.6618,3.012286
10,3,310.62405,1.8251554
10,4,311.6618,0.0
10,5,313.18546,0.0
10,6,324.9165,-0.0
10,7,345.26065,0.0
10,8,347.95245,-0.0
10,9,313.89108,0.0
10,10,296.134,1.5001779
10,11,295.66684,0.08678391
10,12,298.39728,0.0
10,13,299.03647,5.9613843
10,14,299.05573,6.1982565
10,15,300.72614,0.0
10,16,305.42825,3.306738
11,0,294.5658,0.0
11,1,288.13025,0.0
11,2,311.65808,3.0196114
11,3,310.6201,1.8209321
11,4,311.65793,0.0
11,5,313.18546,0.0
11,6,324.9165,-0.0
11,7,345.26065,0.0
11,8,347.95245,-0.0
11,9,313.86526,0.0
11,10,296.13528,1.5092806
11,11,295.665,0.087466955
11,12,298.3934,0.0
11,13,299.03918,6.0011272
11,14,299.0591,6.2381787
11,15,300.70557,0.0
11,16,305.42694,3.3390613
12,0,294.57977,0.0
12,1,288.13477,0.0
12,2,311.6621,3.0246418
12,3,310.6233,1.8181764
12,4,311.66183,0.0
12,5,313.18546,0.0
12,6,324.9165,-0.0
12,7,345.26065,0.0
12,8,347.95245,-0.0
12,9,313.89047,0.0
12,10,296.13605,1.513673
12,11,295.68988,0.08789255
12,12,298.44452,0.0
12,13,299.10016,6.0495443
12,14,299.12048,6.286956
12,15,300.77045,0.0
12,16,305.4305,3.3594773
13,0,294.69263,0.0
13,1,288.16864,0.0
13,2,311.6963,3.1312883
13,3,310.64926,1.8098849
13,4,311.69495,0.0
13,5,313.18546,0.0
13,6,324.9165,-0.0
13,7,345.26065,0.0
13,8,347.95245,-0.0
13,9,314.05838,0.0
13,10,296.17267,1.7671405
13,11,295.87686,0.10866711
13,12,298.81,0.0
13,13,299.54648,6.417971
13,14,299.56055,6.656948
13,15,301.22333,0.0
13,16,305.4646,3.5864828
14,0,294.91516,0.0
14,1,288.23303,0.0
14,2,311.73456,3.194035
14,3,310.68164,1.831255
14,4,311.7335,0.0
14,5,313.18546,0.0
14,6,324.9165,-0.0
14,7,345.26065,0.0
14,8,347.95245,-0.0
14,9,314.26862,0.0
14,10,296.18887,1.8609504
14,11,296.2564,0.115868986
14,12,299.56168,0.0
14,13,300.45416,7.0569267
14,14,300.46677,7.3049455
14,15,302.15466,0.0
14,16,305.51538,3.8577135
15,0,294.99673,0.0
15,1,288.25864,0.0
15,2,311.76517,3.2278705
15,3,310.70828,1.8514402
15,4,311.76425,0.0
15,5,313.18546,0.0
15,6,324.9165,-0.0
15,7,345.26065,0.0
15,8,347.95245,-0.0
15,9,314.45453,0.0
15,10,296.19717,1.9093875
15,11,296.39505,0.1201748
15,12,299.84543,0.0
15,13,300.7435,7.0525594
15,14,300.73132,7.201731
15,15,302.64258,0.0
15,16,305.58972,4.0048847
16,0,294.98773,0.0
16,1,288.24402,0.0
16,2,311.75613,3.0600364
16,3,310.69864,1.7758225
16,4,311.75613,0.0
16,5,313.18546,0.0
16,6,324.9165,-0.0
16,7,345.26065,0.0
16,8,347.95245,-0.0
16,9,314.50375,0.0
16,10,296.1285,1.4220802
16,11,296.38327,0.08017767
16,12,299.8329,0.0
16,13,300.75323,7.125413
16,14,300.74112,7.2768445
16,15,302.5794,0.0
16,16,305.5533,3.682109
17,0,294.88608,0.0
17,1,288.21564,0.0
17,2,311.73093,2.9357455
17,3,310.68307,1.822555
17,4,311.73093,0.0
17,5,313.18546,0.0
17,6,324.9165,-0.0
17,7,345.26065,0.0
17,8,347.95245,-0.0
17,9,314.39798,0.0
17,10,296.10175,1.2543502
17,11,296.20593,0.06801914
17,12,299.46484,0.0
17,13,300.30942,6.7769904
17,14,300.32318,7.0246058
17,15,302.08,0.0
17,16,305.47263,3.2051318
18,0,294.53653,0.0
18,1,288.11383,0.0
18,2,311.68835,2.8602169
18,3,310.6472,1.7949243
18,4,311.68835,0.0
18,5,313.18546,0.0
18,6,324.9165,-0.0
18,7,345.26065,0.0
18,8,347.95245,-0.0
18,9,314.15216,0.0
18,10,296.08597,1.1735667
18,11,295.607,0.06102777
18,12,298.26962,0.0
18,13,298.86652,5.5326333
18,14,298.853,5.760676
18,15,300.65173,0.0
18,16,305.41953,2.8904479
19,0,294.48645,0.0
19,1,288.10254,0.0
19,2,311.68344,3.0698264
19,3,310.64178,1.8331476
19,4,311.68268,0.0
