timestep,edge_idx,flow,velocity
0,0,33.61132,8.418276
0,1,12.366768,4.686659
0,2,-0.0068463003,-0.0055788676
0,3,-0.002185339,-0.001934937
0,4,0.0,0.0
0,5,0.0,0.0
0,6,0.0,0.0
0,7,9.1915245,5.201339
0,8,1.8601519,3.460171
0,9,31.81571,6.4814434
0,10,31.716473,6.4612265
0,11,6.9077706,3.9089987
0,12,7.1558604,4.0493884
0,13,17.685877,5.629589
0,14,17.843985,6.509695
0,15,14.169014,5.843092
1,0,34.621025,8.554404
1,1,12.647588,4.717882
1,2,-0.0038553877,-0.0031416523
1,3,-0.0012832942,-0.0011156833
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,0.0
1,7,9.452538,5.349042
1,8,1.8537377,3.435629
1,9,32.773335,6.676529
1,10,32.6594,6.653319
1,11,7.10107,4.0183835
1,12,7.2522826,4.1039524
1,13,18.309807,5.8281927
1,14,18.352604,6.5455246
1,15,14.464735,5.8293676
2,0,34.790653,8.577585
2,1,12.831676,4.73853
2,2,-0.0026305942,-0.002143601
2,3,-0.0009058829,-0.0007785446
2,4,0.0,0.0
2,5,0.0,0.0
2,6,0.0,0.0
2,7,9.629995,5.4494624
2,8,1.8543022,3.431807
2,9,32.941055,6.7106967
2,10,32.826298,6.687319
2,11,7.056092,3.9929311
2,12,7.20535,4.077394
2,13,18.567509,5.910221
2,14,18.588486,6.5220604
2,15,14.65509,5.812492
3,0,35.09632,8.619795
3,1,12.961498,4.753278
3,2,-0.0018566143,-0.0015129055
3,3,-0.00063893397,-0.0005447852
3,4,0.0,0.0
3,5,0.0,0.0
3,6,0.0,0.0
3,7,9.757205,5.5214486
3,8,2.0424073,3.5415063
3,9,33.06408,6.735759
3,10,32.94693,6.7118936
3,11,7.044547,3.9863982
3,12,7.195253,4.07168
3,13,18.708937,5.9552393
3,14,18.727356,6.4587197
3,15,14.786752,5.777639
4,0,35.221344,8.636127
4,1,12.931839,4.756542
4,2,0.0019842442,0.0016169077
4,3,0.000682188,0.00058355456
4,4,0.0,0.0
4,5,0.0,0.0
4,6,0.0,0.0
4,7,9.797967,5.5445147
4,8,2.164873,3.6144817
4,9,33.053394,6.7335815
4,10,32.949863,6.712491
4,11,7.0863643,4.0100617
4,12,7.2384167,4.096106
4,13,18.62265,5.9277735
4,14,18.585518,6.4777937
4,15,14.738625,5.8076725
5,0,34.855736,8.585528
5,1,12.805339,4.7438717
5,2,0.0027327798,0.0022268693
5,3,0.000940352,0.00081120204
5,4,0.0,0.0
5,5,0.0,0.0
5,6,0.0,0.0
5,7,9.73087,5.506546
5,8,1.945569,3.488512
5,9,32.897488,6.7018213
5,10,32.80154,6.682275
5,11,7.1922045,4.0699553
5,12,7.3468056,4.157441
5,13,18.259098,5.8120513
5,14,18.227318,6.5307913
5,15,14.609968,5.8671403
6,0,34.329067,8.513426
6,1,12.62731,4.7224874
6,2,0.0035307088,0.0028770803
6,3,0.0011737763,0.0010238771
6,4,0.0,0.0
6,5,0.0,0.0
6,6,0.0,0.0
6,7,9.5871725,5.42523
6,8,1.5978469,3.2754807
6,9,32.720036,6.665671
6,10,32.629154,6.6471567
6,11,7.2477927,4.101412
6,12,7.402824,4.1891413
6,13,17.974485,5.721456
6,14,17.935497,6.5280695
6,15,14.448918,5.884549
7,0,33.30291,8.369863
7,1,12.412943,4.696952
7,2,0.0036701646,0.0029907192
7,3,0.0011753876,0.0010392199
7,4,0.0,0.0
7,5,0.0,0.0
7,6,0.0,0.0
